AGT_CHANNEL,AGT_STATUS,AGT_CD
AGENCY,INFORCE,815
AGENCY,INFORCE,816
AGENCY,TERMINATED,817
AGENCY,INFORCE,818
AGENCY,INFORCE,819
BANCA,INFORCE,820
AGENCY,INFORCE,821
AGENCY,INFORCE,822
AGENCY,INFORCE,823
AGENCY,INFORCE,824
AGENCY,INFORCE,825
AGENCY,INFORCE,826
AGENCY,INFORCE,827
AGENCY,INFORCE,828
AGENCY,TERMINATED,829
AGENCY,INFORCE,830
AGENCY,INFORCE,831
AGENCY,INFORCE,832
AGENCY,TERMINATED,833
AGENCY,INFORCE,834
AGENCY,TERMINATED,835
AGENCY,INFORCE,836
AGENCY,INFORCE,837
AGENCY,INFORCE,838
AGENCY,INFORCE,839
AGENCY,INFORCE,840
AGENCY,TERMINATED,841
AGENCY,INFORCE,842
AGENCY,INFORCE,843
AGENCY,INFORCE,844
AGENCY,INFORCE,845
AGENCY,INFORCE,846
AGENCY,INFORCE,847
AGENCY,INFORCE,848
AGENCY,INFORCE,849
AGENCY,INFORCE,850
AGENCY,TERMINATED,851
BANCA,INFORCE,852
BANCA,INFORCE,853
AGENCY,INFORCE,854
AGENCY,INFORCE,855
AGENCY,INFORCE,856
AGENCY,INFORCE,857
AGENCY,TERMINATED,858
AGENCY,INFORCE,859
AGENCY,TERMINATED,860
BANCA,INFORCE,861
AGENCY,INFORCE,862
AGENCY,INFORCE,863
AGENCY,SUSPENDED,864
AGENCY,INFORCE,865
AGENCY,INFORCE,866
AGENCY,INFORCE,867
AGENCY,INFORCE,868
AGENCY,INFORCE,869
AGENCY,INFORCE,870
AGENCY,TERMINATED,871
AGENCY,INFORCE,872
BANCA,INFORCE,873
AGENCY,TERMINATED,874
AGENCY,INFORCE,875
AGENCY,INFORCE,876
AGENCY,TERMINATED,877
AGENCY,INFORCE,878
AGENCY,INFORCE,879
AGENCY,INFORCE,880
AGENCY,TERMINATED,881
AGENCY,INFORCE,882
AGENCY,TERMINATED,883
AGENCY,INFORCE,884
AGENCY,INFORCE,885
AGENCY,TERMINATED,886
IFA,INFORCE,887
AGENCY,INFORCE,888
AGENCY,INFORCE,889
AGENCY,INFORCE,890
AGENCY,TERMINATED,891
AGENCY,INFORCE,892
AGENCY,INFORCE,893
AGENCY,INFORCE,894
AGENCY,TERMINATED,895
AGENCY,INFORCE,896
AGENCY,INFORCE,897
AGENCY,INFORCE,898
AGENCY,INFORCE,899
BANCA,INFORCE,900
AGENCY,INFORCE,901
AGENCY,INFORCE,902
AGENCY,INFORCE,903
AGENCY,INFORCE,904
IFA,INFORCE,905
AGENCY,INFORCE,906
AGENCY,TERMINATED,907
AGENCY,TERMINATED,908
BANCA,INFORCE,909
AGENCY,INFORCE,910
AGENCY,INFORCE,911
AGENCY,INFORCE,912
AGENCY,INFORCE,913
AGENCY,SUSPENDED,914
AGENCY,INFORCE,915
AGENCY,INFORCE,916
AGENCY,INFORCE,917
AGENCY,INFORCE,918
AGENCY,INFORCE,919
AGENCY,INFORCE,920
IFA,INFORCE,921
AGENCY,INFORCE,922
AGENCY,INFORCE,923
AGENCY,INFORCE,924
AGENCY,INFORCE,925
AGENCY,TERMINATED,926
AGENCY,INFORCE,927
AGENCY,INFORCE,928
BANCA,INFORCE,929
AGENCY,INFORCE,930
AGENCY,INFORCE,931
AGENCY,TERMINATED,932
AGENCY,INFORCE,933
AGENCY,INFORCE,934
AGENCY,INFORCE,935
AGENCY,INFORCE,936
AGENCY,TERMINATED,937
AGENCY,INFORCE,938
BANCA,INFORCE,939
AGENCY,INFORCE,940
AGENCY,INFORCE,941
AGENCY,INFORCE,942
BANCA,INFORCE,943
AGENCY,INFORCE,944
AGENCY,INFORCE,945
AGENCY,SUSPENDED,946
AGENCY,INFORCE,947
AGENCY,INFORCE,948
AGENCY,INFORCE,949
AGENCY,INFORCE,950
AGENCY,INFORCE,951
AGENCY,INFORCE,952
BANCA,INFORCE,953
AGENCY,INFORCE,954
BANCA,INFORCE,955
AGENCY,INFORCE,956
IFA,INFORCE,957
AGENCY,INFORCE,958
AGENCY,INFORCE,959
AGENCY,INFORCE,960
AGENCY,INFORCE,961
AGENCY,TERMINATED,962
AGENCY,TERMINATED,963
AGENCY,INFORCE,964
IFA,INFORCE,965
AGENCY,INFORCE,966
AGENCY,TERMINATED,967
AGENCY,TERMINATED,968
AGENCY,TERMINATED,969
BANCA,INFORCE,970
AGENCY,TERMINATED,971
BANCA,INFORCE,972
AGENCY,INFORCE,973
AGENCY,INFORCE,974
AGENCY,INFORCE,975
AGENCY,INFORCE,976
AGENCY,INFORCE,977
AGENCY,INFORCE,978
AGENCY,INFORCE,979
AGENCY,TERMINATED,980
AGENCY,INFORCE,981
AGENCY,TERMINATED,982
AGENCY,INFORCE,983
